4P/5P/6P,Banner,CTA Compliance,CTA Compliant,CTA Message,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Modified Product Category,Month,Outlet classification,Product category,Product division,Province,Region,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Store type,Subchannel,Trade Format,Year
4P,Banner 13,1,4,4,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,3/15/2015,Customer 13,Outlet 15,LSW1,LSW2,Deodorants,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Club,MT,2015
4P,Banner 16,1,4,4,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 16,Others,Others,DTRT 1,3/15/2015,Customer 16,Outlet 18,LSW1,LSW2,Deodorants,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),E-Commerce,MT,2015
4P,Banner 19,1,4,4,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,3/15/2015,Customer 19,Outlet 21,LSW1,LSW2,Deodorants,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Direct Sales,MT,2015
4P,Banner 22,1,4,4,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,3/15/2015,Customer 22,Outlet 24,LSW1,LSW2,Deodorants,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mainstream Drugstores,MT,2015
4P,Banner 25,1,4,4,MT,City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,3/15/2015,Customer 25,Outlet 27,LSW1,LSW2,Deodorants,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mass Merchandiser (non-grocery),MT,2015
4P,Banner 1,0,3,4,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,3/15/2015,Customer 1,Outlet 3,LSW1,LSW2,Deodorants,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Hypermarket,MT,2015
4P,Banner 4,0,3,4,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 4,Others,Others,DTRT 1,3/15/2015,Customer 4,Outlet 6,LSW1,LSW2,Deodorants,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Large Supermarkets,MT,2015
4P,Banner 7,1,4,4,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 7,Regional,Key Customer,DTRT 1,4/15/2015,Customer 7,Outlet 9,LSW1,LSW2,Deodorants,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Small Supermarkets,MT,2015
4P,Banner 10,0,3,4,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,4/15/2015,Customer 10,Outlet 12,LSW1,LSW2,Dressings,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Discounters,MT,2015
4P,Banner 13,1,4,4,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,4/15/2015,Customer 13,Outlet 15,LSW1,LSW2,Dressings,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Club,MT,2015
