4P/5P/6P,Average of Cabinet Fill,Banner,CC Answer,CC Audited,CTA Compliance,CTA UL,CTA expected,Cabinet Care Compliance,Cabinet Fill Compliance,Cabinet Type Audited,Cabinet Type Compliance,Cabinet Type in UL,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Location Audited,Location Compliance,Location in UL,Outlet classification,POS Kits Compliance,POS Kits available,POS Kits expected,PS Compliance,PV Compliance,Pack Compliance,Place Compliance,Planogram Compliance,Planogram Guideline UL,Planogram Guidelines Audited,Price Compliance,Product Compliance,Product category,Product division,Promo Compliance,Proposition Compliance,Province,Region,SOC Compliance,SOC/Cabinet Fill Compliance,SP Compliance,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Sum of NPD Audited,Sum of NPD Count,Sum of OOS Count,Sum of OSA Audited,Sum of OSA Count,Sum of PV Audited,Sum of PV Count,Sum of Promo Audited,Sum of Promo Count,Sum of SOC Audited,Sum of SOC UL,Sum of SP Audited,Sum of SP Count,Sum of Void Count,Trade Format
4P,0.78,Banner 10,18,21,1,12,12,1,1,2,1,2,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Key Customer,DTRT 1,1/15/2016,Customer 10,Outlet 10,LSW 1,LSW 2,2,1,2,MIX,0,8,9,0,1,1,1,1,11,12,1,1,Ice Cream,Beverages & Refreshments,1,0,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,7,7,1,7,6,9,9,7,7,17,15,7,7,0,MT
5P,0.82,Banner 13,18,21,1,12,12,1,1,2,1,2,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Key Customer,DTRT 1,1/15/2016,Customer 13,Outlet 13,LSW 1,LSW 2,2,1,2,MIX,1,9,9,1,1,1,1,1,11,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Club,7,7,1,7,6,7,7,7,7,18,10,7,7,0,MT
5P,0.82,Banner 133,12,21,1,12,12,0,1,3,1,3,Hypermarket,City 5,SEAA,Commune 5,Category,Thailand,Customer 133,Key Customer,DTRT 5,1/15/2016,Customer 133,Outlet 133,LSW 5,LSW 6,3,1,3,MIX,1,9,9,0,1,1,0,1,11,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 5,Central,1,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Hypermarket,7,7,0,7,7,5,5,7,7,18,10,7,7,0,MT
6P,0.556667,Banner 136,17,21,1,12,12,1,1,3,1,3,Supermarkets,City 5,SEAA,Commune 5,Category,Thailand,Customer 136,Others,DTRT 5,1/15/2016,Customer 136,Outlet 136,LSW 5,LSW 6,2,1,2,MIX,1,9,9,1,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 5,Central,1,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Large Supermarkets,7,7,1,7,6,5,5,7,7,16,15,7,7,0,MT
6P,0.773333,Banner 139,18,21,1,12,12,1,1,3,1,3,Supermarkets,City 5,SEAA,Commune 5,Category,Thailand,Customer 139,Key Customer,DTRT 5,1/15/2016,Customer 139,Outlet 139,LSW 5,LSW 6,3,1,3,MIX,1,9,9,1,1,1,1,1,11,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 5,Central,1,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Small Supermarkets,7,7,0,7,7,5,5,7,7,22,11,7,7,0,MT
4P,0.56,Banner 142,18,21,1,12,12,1,1,3,1,3,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Key Customer,DTRT 5,1/15/2016,Customer 142,Outlet 142,LSW 5,LSW 6,3,1,3,MIX,1,9,9,1,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 5,Central,1,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,7,7,0,7,7,5,5,7,7,17,11,7,7,0,MT
4P,0.496667,Banner 145,18,21,1,12,12,1,0,3,1,3,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Key Customer,DTRT 5,1/15/2016,Customer 145,Outlet 145,LSW 5,LSW 6,3,1,3,MIX,0,8,9,0,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,1,0,Province 5,Central,1,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,7,7,1,7,6,5,5,7,7,19,15,7,7,0,MT
5P,0.486667,Banner 148,19,21,1,12,12,1,0,2,1,2,Direct,City 5,SEAA,Commune 5,Category,Thailand,Customer 148,Others,DTRT 5,1/15/2016,Customer 148,Outlet 148,LSW 5,LSW 6,2,1,2,MIX,1,9,9,1,1,1,1,1,11,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 5,Central,1,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,E-Commerce,7,7,1,7,6,5,5,7,7,20,11,7,7,0,MT
5P,0.676667,Banner 151,18,21,1,12,12,1,1,2,1,2,Direct,City 5,SEAA,Commune 5,Category,Thailand,Customer 151,Key Customer,DTRT 5,1/15/2016,Customer 151,Outlet 151,LSW 5,LSW 6,2,1,2,MIX,1,9,9,0,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,0,1,Province 5,Central,1,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,7,7,1,7,6,5,5,7,6,21,11,7,7,0,MT
6P,0.566667,Banner 154,18,21,1,12,12,1,1,1,1,1,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Key Customer,DTRT 5,1/15/2016,Customer 154,Outlet 154,LSW 5,LSW 6,1,1,1,MIX,1,9,9,0,1,1,1,1,10,12,1,0,Ice Cream,Beverages & Refreshments,1,1,Province 5,Central,1,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,7,1,7,5,5,5,7,7,17,12,7,7,1,MT
