4P/5P/6P,Banner,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Modified Product Category,Outlet classification,PSP Compliance,Place Compliance,Product category,Product division,Province,Region,SOS Compliance,SSP Compliance,Sales area,Sales region,Sales route,Sales territory,Secondary Customer,Store area,Store location,Store type,Subchannel,Sum of PLACE - PSP - Answer,Sum of PLACE - PSP - Question,Sum of PLACE - SSP - Answer,Sum of PLACE - SSP - Question,Sum of Total Category Length,Sum of Unilever Length,Trade Format
4P,Banner 13,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,3/15/2015,Customer 13,Outlet 15,LSW1,LSW2,Deodorants,MIX,1,1,Deodorants,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Club,4,4,4,4,7,2.8,MT
4P,Banner 16,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 16,Others,Others,DTRT 1,3/15/2015,Customer 16,Outlet 18,LSW1,LSW2,Deodorants,MIX,1,1,Deodorants,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),E-Commerce,4,4,4,4,9,3.24,MT
4P,Banner 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,3/15/2015,Customer 19,Outlet 21,LSW1,LSW2,Deodorants,MIX,1,0,Deodorants,HPC,Province 1,North,1,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Direct Sales,3,4,3,4,8,2.8,MT
4P,Banner 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,3/15/2015,Customer 22,Outlet 24,LSW1,LSW2,Deodorants,MIX,1,1,Deodorants,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Mainstream Drugstores,4,4,4,4,2,0.8,MT
4P,Banner 25,MT,City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,3/15/2015,Customer 25,Outlet 27,LSW1,LSW2,Deodorants,MIX,1,1,Deodorants,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Mass Merchandiser (non-grocery),4,4,4,4,9,2.88,MT
4P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,3/15/2015,Customer 1,Outlet 3,LSW1,LSW2,Deodorants,MIX,1,0,Deodorants,HPC,Province 1,North,1,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Hypermarket,3,4,3,4,8,3.12,MT
4P,Banner 4,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 4,Others,Others,DTRT 1,3/15/2015,Customer 4,Outlet 6,LSW1,LSW2,Deodorants,MIX,1,1,Deodorants,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Large Supermarkets,4,4,4,4,8,2.72,MT
4P,Banner 7,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 7,Regional,Key Customer,DTRT 1,3/15/2015,Customer 7,Outlet 9,LSW1,LSW2,Deodorants,MIX,1,1,Deodorants,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Small Supermarkets,4,4,4,4,3,0.99,MT
4P,Banner 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,3/15/2015,Customer 10,Outlet 12,LSW1,LSW2,Dressings,MIX,1,0,Dressings,Foods,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Discounters,3,4,3,4,6,1.86,MT
4P,Banner 13,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,3/15/2015,Customer 13,Outlet 15,LSW1,LSW2,Dressings,MIX,1,0,Dressings,Foods,Province 1,North,1,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Club,3,4,3,4,2,0.64,MT
4P,Banner 16,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 16,Others,Others,DTRT 1,3/15/2015,Customer 16,Outlet 18,LSW1,LSW2,Dressings,MIX,1,0,Dressings,Foods,Province 1,North,1,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),E-Commerce,3,4,3,4,5,1.65,MT
4P,Banner 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,3/15/2015,Customer 19,Outlet 21,LSW1,LSW2,Dressings,MIX,1,1,Dressings,Foods,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Direct Sales,4,4,4,4,6,2.34,MT
4P,Banner 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,3/15/2015,Customer 22,Outlet 24,LSW1,LSW2,Dressings,MIX,1,1,Dressings,Foods,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Mainstream Drugstores,4,4,4,4,5,1.85,MT
4P,Banner 25,MT,City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,3/15/2015,Customer 25,Outlet 27,LSW1,LSW2,Dressings,MIX,1,1,Dressings,Foods,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Mass Merchandiser (non-grocery),4,4,4,4,2,0.76,MT
