4P/5P/6P,Banner,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Outlet classification,Product category,Product division,Province,Region,SP Compliance,SP Compliant,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Total Audited,Trade Format
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,3/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,MT
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,3/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,MT
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,3/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,1,MT
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,3/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,1,9,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,9,MT
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,4/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,1,5,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,5,MT
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,4/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,MT
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,4/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,MT
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,4/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,1,MT
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,4/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,1,9,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,9,MT
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,5/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,1,5,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,5,MT
