Audit_Date,Banner,Banner_ID,CTA_Audit_Date_LV,CTA_Audited,CTA_Audited_LV,CTA_Compliance,CTA_Compliance_LV,CTA_Count,CTA_Count_LV,CTA_Hurdle_Rate_Percentage,CTA_Hurdle_Rate_Percentage_LV,CTA_Percentage,CTA_Percentage_LV,Cabinet_Care_Audit_Date_LV,Cabinet_Care_Audited,Cabinet_Care_Audited_LV,Cabinet_Care_Compliance,Cabinet_Care_Compliance_LV,Cabinet_Care_Count,Cabinet_Care_Count_LV,Cabinet_Care_Hurdle_Rate_Percentage,Cabinet_Care_Hurdle_Rate_Percentage_LV,Cabinet_Care_Percentage,Cabinet_Care_Percentage_LV,Cabinet_Fill_Audit_Date_LV,Cabinet_Fill_Audited,Cabinet_Fill_Audited_LV,Cabinet_Fill_Compliance,Cabinet_Fill_Compliance_LV,Cabinet_Fill_Count,Cabinet_Fill_Count_LV,Cabinet_Fill_Hurdle_Rate_Percentage,Cabinet_Fill_Hurdle_Rate_Percentage_LV,Cabinet_Fill_Percentage,Cabinet_Fill_Percentage_LV,Cabinet_Type_Audit_Date_LV,Cabinet_Type_Audited,Cabinet_Type_Audited_LV,Cabinet_Type_Compliance,Cabinet_Type_Compliance_LV,Cabinet_Type_Count,Cabinet_Type_Count_LV,Cabinet_Type_Hurdle_Rate_Percentage,Cabinet_Type_Hurdle_Rate_Percentage_LV,Cabinet_Type_Percentage,Cabinet_Type_Percentage_LV,Category_ID,Channel,City,City_ID,Commune,Country,Customer,Customer_ID,Division_ID,Field_Execution_Manager,Field_Execution_Manager_ID,Field_Sales_Manager,Field_Sales_Manager_ID,Key_Customer_Type,Local_Channel,Local_Channel_ID,Local_Product_Category,Local_Product_Market,Local_Subchannel,Local_Subchannel_ID,Location,Location_Audit_Date_LV,Location_Audited,Location_Audited_LV,Location_Compliance,Location_Compliance_LV,Location_Count,Location_Count_LV,Location_Hurdle_Rate_Percentage,Location_Hurdle_Rate_Percentage_LV,Location_Percentage,Location_Percentage_LV,Market_ID,NPD_Audit_Date_LV,NPD_Audited,NPD_Audited_LV,NPD_Count,NPD_Count_LV,NPD_Hurdle_Rate_Percentage,NPD_Hurdle_Rate_Percentage_LV,NPD_Percentage,NPD_Percentage_LV,OSA_Audit_Date_LV,OSA_Audited,OSA_Audited_LV,OSA_Count,OSA_Count_LV,OSA_Hurdle_Rate_Percentage,OSA_Hurdle_Rate_Percentage_LV,OSA_Percentage,OSA_Percentage_LV,Outlet_Classification,Outlet_ID,Outlet_Name,POS_Kits_Audit_Date_LV,POS_Kits_Audited,POS_Kits_Audited_LV,POS_Kits_Compliance,POS_Kits_Compliance_LV,POS_Kits_Count,POS_Kits_Count_LV,POS_Kits_Hurdle_Rate_Percentage,POS_Kits_Hurdle_Rate_Percentage_LV,POS_Kits_Percentage,POS_Kits_Percentage_LV,PSP_Audit_Date_LV,PSP_Audited,PSP_Audited_LV,PSP_Compliance,PSP_Compliance_LV,PSP_Count,PSP_Count_LV,PSP_Hurdle_Rate_Percentage,PSP_Hurdle_Rate_Percentage_LV,PSP_Percentage,PSP_Percentage_LV,PS_Category,PS_Compliance,PS_Compliance_Audit_Date_LV,PS_Compliance_LV,PS_Compliance_Target,PS_Standard,Pack_Audit_Date_LV,Pack_Compliance,Pack_Compliance_LV,Place_Audit_Date_LV,Place_Compliance,Place_Compliance_LV,Planogram_Audit_Date_LV,Planogram_Audited,Planogram_Audited_LV,Planogram_Compliance,Planogram_Compliance_LV,Planogram_Count,Planogram_Count_LV,Planogram_Hurdle_Rate_Percentage,Planogram_Hurdle_Rate_Percentage_LV,Planogram_Percentage,Planogram_Percentage_LV,Price_Audit_Date_LV,Price_Compliance,Price_Compliance_LV,Price_Visibility_Audit_Date_LV,Price_Visibility_Audited,Price_Visibility_Audited_LV,Price_Visibility_Compliance,Price_Visibility_Compliance_LV,Price_Visibility_Count,Price_Visibility_Count_LV,Price_Visibility_Hurdle_Rate_Percentage,Price_Visibility_Hurdle_Rate_Percentage_LV,Price_Visibility_Percentage,Price_Visibility_Percentage_LV,Priority_Promo_Audit_Date_LV,Priority_Promo_Audited,Priority_Promo_Audited_LV,Priority_Promo_Compliance,Priority_Promo_Compliance_LV,Priority_Promo_Count,Priority_Promo_Count_LV,Priority_Promo_Hurdle_Rate_Percentage,Priority_Promo_Hurdle_Rate_Percentage_LV,Priority_Promo_Percentage,Priority_Promo_Percentage_LV,Product_Category,Product_Compliance,Product_Compliance_Audit_Date_LV,Product_Compliance_LV,Product_Division,Product_Market,Promo_Audit_Date_LV,Promo_Compliance,Promo_Compliance_LV,Proposition_Audit_Date_LV,Propostion_Compliance,Propostion_Compliance_LV,Province,Record_Id,Region,Rural_Urban,SOF_Audit_Date_LV,SOF_Audited,SOF_Audited_LV,SOF_Compliance,SOF_Compliance_LV,SOF_Count,SOF_Count_LV,SOF_Hurdle_Rate_Percentage,SOF_Hurdle_Rate_Percentage_LV,SOF_Percentage,SOF_Percentage_LV,SOS_Audit_Date_LV,SOS_Audited,SOS_Audited_LV,SOS_Compliance,SOS_Compliance_LV,SOS_Count,SOS_Count_LV,SOS_Hurdle_Rate_Percentage,SOS_Hurdle_Rate_Percentage_LV,SOS_Percentage,SOS_Percentage_LV,Sales_Org,Sales_Region,Sales_Route,Sales_Territory,Sales_area,Secondary_Placement_Audit_Date_LV,Secondary_Placement_Audited,Secondary_Placement_Audited_LV,Secondary_Placement_Compliance,Secondary_Placement_Compliance_LV,Secondary_Placement_Count,Secondary_Placement_Count_LV,Secondary_Placement_Hurdle_Rate_Percentage,Secondary_Placement_Hurdle_Rate_Percentage_LV,Secondary_Placement_Percentage,Secondary_Placement_Percentage_LV,Share_of_Cabinet_Audit_Date_LV,Share_of_Cabinet_Audited,Share_of_Cabinet_Audited_LV,Share_of_Cabinet_Compliance,Share_of_Cabinet_Compliance_LV,Share_of_Cabinet_Count,Share_of_Cabinet_Count_LV,Share_of_Cabinet_Hurdle_Rate_Percentage,Share_of_Cabinet_Hurdle_Rate_Percentage_LV,Share_of_Cabinet_Percentage,Share_of_Cabinet_Percentage_LV,Store_Operations_Manager,Store_Operations_Manager_ID,Strategic_Price_Audit_Date_LV,Strategic_Price_Audited,Strategic_Price_Audited_LV,Strategic_Price_Compliance,Strategic_Price_Compliance_LV,Strategic_Price_Count,Strategic_Price_Count_LV,Strategic_Price_Hurdle_Rate_Percentage,Strategic_Price_Hurdle_Rate_Percentage_LV,Strategic_Price_Percentage,Strategic_Price_Percentage_LV,Subchannel,Top_Customer,Trade_Format
2016-11-06,Banner 1,1,2016-11-06,1,1,1,1,1,28,0.844,0.844,0.844,0.844,2016-11-06,1,1,1,1,1,33,0.844,0.844,0.844,0.844,2016-11-06,1,1,1,1,1,31,0.844,0.844,0.844,0.844,2016-11-06,1,1,1,1,1,45,0.844,0.844,0.844,0.844,4,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 1,1,Manager 2,2,Global,Channel 1,1,Route 1,Market 1,Local Subchannel 26,1,Market,2016-11-06,1,1,1,1,1,7,0.844,0.844,0.844,0.844,4,2016-11-06,1,1,1,1,0.474,0.844,0.474,0.844,2016-11-06,0,1,9,1,0.687,0.844,0.687,0.844,MIX,2,Outlet 2,2016-11-06,1,1,1,1,1,45,0.844,0.844,0.844,0.844,2016-11-06,1,1,1,1,1,39,0.844,0.844,0.844,0.844,HPC&F,0,2016-11-06,1,0.557,6P,2016-11-06,1,1,2016-11-06,1,1,2016-11-06,1,1,1,1,1,47,0.844,0.844,0.844,0.844,2016-11-06,0,1,2016-11-06,1,1,1,1,68,1,0.844,0.844,0.844,0.844,2016-11-06,1,1,1,1,1,27,0.844,0.844,0.844,0.844,Ice Cream,0,2016-11-06,1,Ice Cream,Market 1,2016-11-06,1,1,2016-11-06,1,1,Province 1,HPC&F2016-11-062,North,Urban,2016-11-06,1,1,1,1,1,10,0.844,0.844,0.844,0.844,2016-11-06,1,1,1,1,1,47,0.844,0.844,0.844,0.844,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-11-06,1,1,1,1,1,32,0.844,0.844,0.844,0.844,2016-11-06,1,1,1,1,1,18,0.844,0.844,0.844,0.844,Manager 1,1,2016-11-06,1,1,2,1,1,1,0.813,0.844,0.813,0.844,Hypermarket,YES,MT
2016-10-06,Banner 1,1,2016-10-06,0,0,0,0,0,40,0.924,0.924,0.924,0.924,2016-10-06,0,0,0,0,0,4,0.924,0.924,0.924,0.924,2016-10-06,0,0,0,0,0,38,0.924,0.924,0.924,0.924,2016-10-06,0,0,0,0,0,31,0.924,0.924,0.924,0.924,12,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 1,1,Manager 3,3,Local,Channel 1,1,Route 1,Market 1,Local Subchannel 57,1,Street,2016-10-06,0,0,0,0,0,39,0.924,0.924,0.924,0.924,12,2016-10-06,0,0,0,0,0.521,0.924,0.521,0.924,2016-10-06,1,0,49,0,0.168,0.924,0.168,0.924,MIX,3,Outlet 3,2016-10-06,0,0,0,0,0,13,0.924,0.924,0.924,0.924,2016-10-06,0,0,0,0,0,49,0.924,0.924,0.924,0.924,HPC&F,1,2016-10-06,0,0,6P,2016-10-06,0,0,2016-10-06,0,0,2016-10-06,0,0,0,0,0,49,0.924,0.924,0.924,0.924,2016-10-06,0,0,2016-10-06,1,0,0,0,86,0,0.924,0.924,0.924,0.924,2016-10-06,1,0,0,0,1,3,0.924,0.924,0.924,0.924,Skin Care,1,2016-10-06,0,Skin Care,Market 1,2016-10-06,1,0,2016-10-06,0,0,Province 1,HPC&F2016-10-063,North,Urban,2016-10-06,1,0,0,0,1,13,0.924,0.924,0.924,0.924,2016-10-06,1,0,0,0,1,9,0.924,0.924,0.924,0.924,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-10-06,0,0,0,0,0,12,0.924,0.924,0.924,0.924,2016-10-06,0,0,0,0,0,12,0.924,0.924,0.924,0.924,Manager 1,1,2016-10-06,1,0,3,0,1,0,0.499,0.924,0.499,0.924,Hypermarket,YES,MT
2016-09-06,Banner 1,1,2016-09-06,1,1,1,1,1,45,0.017,0.017,0.017,0.017,2016-09-06,1,1,1,1,1,47,0.017,0.017,0.017,0.017,2016-09-06,1,1,1,1,1,39,0.017,0.017,0.017,0.017,2016-09-06,1,1,1,1,1,41,0.017,0.017,0.017,0.017,29,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 2,2,Manager 4,4,Others,Channel 1,1,Route 1,Market 1,Local Subchannel 30,1,Street,2016-09-06,1,1,1,1,1,29,0.017,0.017,0.017,0.017,29,2016-09-06,0,1,0,1,0.72,0.017,0.72,0.017,2016-09-06,0,1,42,1,0.219,0.017,0.219,0.017,MIX,4,Outlet 4,2016-09-06,1,1,1,1,1,11,0.017,0.017,0.017,0.017,2016-09-06,1,1,1,1,1,30,0.017,0.017,0.017,0.017,HPC&F,0,2016-09-06,1,0,6P,2016-09-06,1,1,2016-09-06,1,1,2016-09-06,1,1,1,1,1,39,0.017,0.017,0.017,0.017,2016-09-06,0,1,2016-09-06,2,1,1,1,29,1,0.017,0.017,0.017,0.017,2016-09-06,2,1,1,1,2,13,0.017,0.017,0.017,0.017,Hair,0,2016-09-06,1,Hair,Market 1,2016-09-06,1,1,2016-09-06,1,1,Province 1,HPC&F2016-09-064,North,Urban,2016-09-06,2,1,1,1,2,27,0.017,0.017,0.017,0.017,2016-09-06,2,1,1,1,2,44,0.017,0.017,0.017,0.017,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-09-06,1,1,1,1,1,22,0.017,0.017,0.017,0.017,2016-09-06,1,1,1,1,1,33,0.017,0.017,0.017,0.017,Manager 2,2,2016-09-06,2,1,4,1,2,1,0.895,0.017,0.895,0.017,Hypermarket,YES,MT
2016-08-06,Banner 1,1,2016-08-06,0,0,0,0,0,36,0.907,0.907,0.907,0.907,2016-08-06,0,0,0,0,0,15,0.907,0.907,0.907,0.907,2016-08-06,0,0,0,0,0,2,0.907,0.907,0.907,0.907,2016-08-06,0,0,0,0,0,29,0.907,0.907,0.907,0.907,24,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 2,2,Manager 5,5,Regional,Channel 1,1,Route 1,Market 1,Local Subchannel 43,1,Market,2016-08-06,0,0,0,0,0,13,0.907,0.907,0.907,0.907,24,2016-08-06,1,0,1,0,0.82,0.907,0.82,0.907,2016-08-06,1,0,13,0,0.683,0.907,0.683,0.907,MIX,5,Outlet 5,2016-08-06,0,0,0,0,0,2,0.907,0.907,0.907,0.907,2016-08-06,0,0,0,0,0,12,0.907,0.907,0.907,0.907,HPC&F,1,2016-08-06,0,0.497,6P,2016-08-06,1,0,2016-08-06,0,0,2016-08-06,0,0,0,0,0,25,0.907,0.907,0.907,0.907,2016-08-06,1,0,2016-08-06,2,0,0,0,1,0,0.907,0.907,0.907,0.907,2016-08-06,2,0,0,0,2,37,0.907,0.907,0.907,0.907,Ice Cream,1,2016-08-06,0,Ice Cream,Market 1,2016-08-06,1,0,2016-08-06,0,0,Province 1,HPC&F2016-08-065,North,Urban,2016-08-06,2,0,0,0,2,37,0.907,0.907,0.907,0.907,2016-08-06,2,0,0,0,2,47,0.907,0.907,0.907,0.907,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-08-06,0,0,0,0,0,43,0.907,0.907,0.907,0.907,2016-08-06,0,0,0,0,0,22,0.907,0.907,0.907,0.907,Manager 2,2,2016-08-06,2,0,5,0,2,0,0.411,0.907,0.411,0.907,Hypermarket,YES,MT
2016-07-06,Banner 1,1,2016-07-06,1,1,1,1,1,9,0.545,0.545,0.545,0.545,2016-07-06,1,1,1,1,1,40,0.545,0.545,0.545,0.545,2016-07-06,1,1,1,1,1,12,0.545,0.545,0.545,0.545,2016-07-06,1,1,1,1,1,14,0.545,0.545,0.545,0.545,39,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 2,2,Manager 6,6,Global,Channel 1,1,Route 1,Market 1,Local Subchannel 42,1,Street,2016-07-06,1,1,1,1,1,44,0.545,0.545,0.545,0.545,39,2016-07-06,1,1,1,1,0.251,0.545,0.251,0.545,2016-07-06,1,1,12,1,0.184,0.545,0.184,0.545,MIX,6,Outlet 6,2016-07-06,1,1,1,1,1,27,0.545,0.545,0.545,0.545,2016-07-06,1,1,1,1,1,35,0.545,0.545,0.545,0.545,HPC&F,1,2016-07-06,1,0.487,6P,2016-07-06,0,1,2016-07-06,1,1,2016-07-06,1,1,1,1,1,26,0.545,0.545,0.545,0.545,2016-07-06,0,1,2016-07-06,2,1,1,1,69,1,0.545,0.545,0.545,0.545,2016-07-06,2,1,1,1,2,7,0.545,0.545,0.545,0.545,Ice Cream,1,2016-07-06,1,Ice Cream,Market 1,2016-07-06,1,1,2016-07-06,1,1,Province 1,HPC&F2016-07-066,North,Urban,2016-07-06,2,1,1,1,2,47,0.545,0.545,0.545,0.545,2016-07-06,2,1,1,1,2,32,0.545,0.545,0.545,0.545,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-07-06,1,1,1,1,1,25,0.545,0.545,0.545,0.545,2016-07-06,1,1,1,1,1,33,0.545,0.545,0.545,0.545,Manager 2,2,2016-07-06,2,1,6,1,2,1,0.635,0.545,0.635,0.545,Hypermarket,YES,MT
2016-06-06,Banner 1,1,2016-06-06,0,0,0,0,0,3,0.968,0.968,0.968,0.968,2016-06-06,0,0,0,0,0,21,0.968,0.968,0.968,0.968,2016-06-06,0,0,0,0,0,23,0.968,0.968,0.968,0.968,2016-06-06,0,0,0,0,0,46,0.968,0.968,0.968,0.968,7,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 3,3,Manager 7,7,Local,Channel 1,1,Route 1,Market 1,Local Subchannel 47,1,Market,2016-06-06,0,0,0,0,0,48,0.968,0.968,0.968,0.968,7,2016-06-06,1,0,1,0,0.985,0.968,0.985,0.968,2016-06-06,1,0,8,0,0.152,0.968,0.152,0.968,MIX,7,Outlet 7,2016-06-06,0,0,0,0,0,26,0.968,0.968,0.968,0.968,2016-06-06,0,0,0,0,0,7,0.968,0.968,0.968,0.968,HPC&F,1,2016-06-06,0,0.677,6P,2016-06-06,1,0,2016-06-06,0,0,2016-06-06,0,0,0,0,0,4,0.968,0.968,0.968,0.968,2016-06-06,1,0,2016-06-06,3,0,0,0,47,0,0.968,0.968,0.968,0.968,2016-06-06,3,0,0,0,3,11,0.968,0.968,0.968,0.968,Ice Cream,1,2016-06-06,0,Ice Cream,Market 1,2016-06-06,1,0,2016-06-06,0,0,Province 1,HPC&F2016-06-067,North,Urban,2016-06-06,3,0,0,0,3,2,0.968,0.968,0.968,0.968,2016-06-06,3,0,0,0,3,10,0.968,0.968,0.968,0.968,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-06-06,0,0,0,0,0,43,0.968,0.968,0.968,0.968,2016-06-06,0,0,0,0,0,33,0.968,0.968,0.968,0.968,Manager 3,3,2016-06-06,3,0,7,0,3,0,0.255,0.968,0.255,0.968,Hypermarket,YES,MT
2016-05-06,Banner 1,1,2016-05-06,1,1,1,1,1,42,0.197,0.197,0.197,0.197,2016-05-06,1,1,1,1,1,10,0.197,0.197,0.197,0.197,2016-05-06,1,1,1,1,1,26,0.197,0.197,0.197,0.197,2016-05-06,1,1,1,1,1,2,0.197,0.197,0.197,0.197,48,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 3,3,Manager 8,8,Others,Channel 1,1,Route 1,Market 1,Local Subchannel 7,1,Street,2016-05-06,1,1,1,1,1,10,0.197,0.197,0.197,0.197,48,2016-05-06,0,1,0,1,0.743,0.197,0.743,0.197,2016-05-06,1,1,35,1,0.938,0.197,0.938,0.197,MIX,8,Outlet 8,2016-05-06,1,1,1,1,1,18,0.197,0.197,0.197,0.197,2016-05-06,1,1,1,1,1,7,0.197,0.197,0.197,0.197,IC,1,2016-05-06,1,0,6P,2016-05-06,1,1,2016-05-06,1,1,2016-05-06,1,1,1,1,1,8,0.197,0.197,0.197,0.197,2016-05-06,1,1,2016-05-06,3,1,1,1,79,1,0.197,0.197,0.197,0.197,2016-05-06,3,1,1,1,3,24,0.197,0.197,0.197,0.197,Skin Care,1,2016-05-06,1,Skin Care,Market 1,2016-05-06,0,1,2016-05-06,1,1,Province 1,IC2016-05-068,North,Urban,2016-05-06,3,1,1,1,3,41,0.197,0.197,0.197,0.197,2016-05-06,3,1,1,1,3,2,0.197,0.197,0.197,0.197,IC,Reg 1,Route 1,Territory 1,Area 1,2016-05-06,1,1,1,1,1,33,0.197,0.197,0.197,0.197,2016-05-06,1,1,1,1,1,8,0.197,0.197,0.197,0.197,Manager 3,3,2016-05-06,3,1,8,1,3,1,0.337,0.197,0.337,0.197,Hypermarket,YES,MT
2016-04-06,Banner 1,1,2016-04-06,1,1,1,1,1,8,0.812,0.812,0.812,0.812,2016-04-06,1,1,1,1,1,34,0.812,0.812,0.812,0.812,2016-04-06,1,1,1,1,1,13,0.812,0.812,0.812,0.812,2016-04-06,1,1,1,1,1,45,0.812,0.812,0.812,0.812,21,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 3,3,Manager 9,9,Regional,Channel 1,1,Route 1,Market 1,Local Subchannel 24,1,Street,2016-04-06,1,1,1,1,1,46,0.812,0.812,0.812,0.812,21,2016-04-06,0,1,0,1,0.883,0.812,0.883,0.812,2016-04-06,1,1,36,1,0.494,0.812,0.494,0.812,MIX,9,Outlet 9,2016-04-06,1,1,1,1,1,27,0.812,0.812,0.812,0.812,2016-04-06,1,1,1,1,1,6,0.812,0.812,0.812,0.812,HPC&F,1,2016-04-06,1,0,6P,2016-04-06,1,1,2016-04-06,1,1,2016-04-06,1,1,1,1,1,18,0.812,0.812,0.812,0.812,2016-04-06,0,1,2016-04-06,3,1,1,1,33,1,0.812,0.812,0.812,0.812,2016-04-06,3,1,1,1,3,48,0.812,0.812,0.812,0.812,Hair,1,2016-04-06,1,Hair,Market 1,2016-04-06,0,1,2016-04-06,1,1,Province 1,HPC&F2016-04-069,North,Urban,2016-04-06,3,1,1,1,3,30,0.812,0.812,0.812,0.812,2016-04-06,3,1,1,1,3,32,0.812,0.812,0.812,0.812,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-04-06,1,1,1,1,1,43,0.812,0.812,0.812,0.812,2016-04-06,1,1,1,1,1,20,0.812,0.812,0.812,0.812,Manager 3,3,2016-04-06,3,1,9,1,3,1,0.911,0.812,0.911,0.812,Hypermarket,YES,MT
2016-03-06,Banner 1,1,2016-03-06,0,0,0,0,0,19,0.831,0.831,0.831,0.831,2016-03-06,0,0,0,0,0,40,0.831,0.831,0.831,0.831,2016-03-06,0,0,0,0,0,36,0.831,0.831,0.831,0.831,2016-03-06,0,0,0,0,0,48,0.831,0.831,0.831,0.831,28,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 4,4,Manager 10,10,Global,Channel 1,1,Route 1,Market 1,Local Subchannel 34,1,Market,2016-03-06,0,0,0,0,0,44,0.831,0.831,0.831,0.831,28,2016-03-06,1,0,1,0,0.56,0.831,0.56,0.831,2016-03-06,1,0,7,0,0.81,0.831,0.81,0.831,MIX,10,Outlet 10,2016-03-06,0,0,0,0,0,22,0.831,0.831,0.831,0.831,2016-03-06,0,0,0,0,0,39,0.831,0.831,0.831,0.831,IC,1,2016-03-06,0,0.507,6P,2016-03-06,0,0,2016-03-06,0,0,2016-03-06,0,0,0,0,0,42,0.831,0.831,0.831,0.831,2016-03-06,1,0,2016-03-06,4,0,0,0,93,0,0.831,0.831,0.831,0.831,2016-03-06,4,0,0,0,4,29,0.831,0.831,0.831,0.831,Ice Cream,1,2016-03-06,0,Ice Cream,Market 1,2016-03-06,1,0,2016-03-06,0,0,Province 1,IC2016-03-0610,North,Urban,2016-03-06,4,0,0,0,4,11,0.831,0.831,0.831,0.831,2016-03-06,4,0,0,0,4,13,0.831,0.831,0.831,0.831,IC,Reg 1,Route 1,Territory 1,Area 1,2016-03-06,0,0,0,0,0,3,0.831,0.831,0.831,0.831,2016-03-06,0,0,0,0,0,47,0.831,0.831,0.831,0.831,Manager 4,4,2016-03-06,4,0,10,0,4,0,0.516,0.831,0.516,0.831,Hypermarket,YES,MT
2016-12-06,Banner 1,1,2016-12-06,0,0,0,0,0,47,0.89,0.89,0.89,0.89,2016-12-06,0,0,0,0,0,37,0.89,0.89,0.89,0.89,2016-12-06,0,0,0,0,0,31,0.89,0.89,0.89,0.89,2016-12-06,0,0,0,0,0,9,0.89,0.89,0.89,0.89,33,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 4,4,Manager 4,4,Local,Channel 1,1,Route 1,Market 1,Local Subchannel 6,1,Street,2016-12-06,0,0,0,0,0,38,0.89,0.89,0.89,0.89,33,2016-12-06,1,0,1,0,0.083,0.89,0.083,0.89,2016-12-06,1,0,23,0,0.452,0.89,0.452,0.89,MIX,11,Outlet 11,2016-12-06,0,0,0,0,0,30,0.89,0.89,0.89,0.89,2016-12-06,0,0,0,0,0,1,0.89,0.89,0.89,0.89,HPC&F,1,2016-12-06,0,0.71,6P,2016-12-06,0,0,2016-12-06,0,0,2016-12-06,0,0,0,0,0,41,0.89,0.89,0.89,0.89,2016-12-06,0,0,2016-12-06,4,0,0,0,58,0,0.89,0.89,0.89,0.89,2016-12-06,4,0,0,0,4,1,0.89,0.89,0.89,0.89,Ice Cream,1,2016-12-06,0,Ice Cream,Market 1,2016-12-06,0,0,2016-12-06,0,0,Province 1,HPC&F2016-12-0611,North,Urban,2016-12-06,4,0,0,0,4,27,0.89,0.89,0.89,0.89,2016-12-06,4,0,0,0,4,33,0.89,0.89,0.89,0.89,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-12-06,0,0,0,0,0,42,0.89,0.89,0.89,0.89,2016-12-06,0,0,0,0,0,49,0.89,0.89,0.89,0.89,Manager 4,4,2016-12-06,4,0,4,0,4,0,0.223,0.89,0.223,0.89,Hypermarket,YES,MT
