4P/5P/6P,Banner,Channel,City,Cluster,Commune,Compliance,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Outlet classification,Product category,Product division,Province,Region,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Total Category Length,Trade Format,Unilever Length
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,3/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,2,MT,0.8
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,4/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,2,MT,0.76
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,4/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,MT,1.17
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,5/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,5,MT,1.95
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,0,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,5/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,5,MT,1.5
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,0,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,6/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,10,MT,3
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,6/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,4,MT,1.48
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,7/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,4,MT,1.28
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,7/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,8,MT,2.56
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,8/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,4,MT,1.36
